# Dit is de ParameterMappingTable. Kopieer deze tekst in een leeg txt bestand om een bestand te maken wat in Revit ingelezen kan worden		
# Deze tabel mapt de NLRS parameters (of Revit Built-In parameters) aan de Common Property Sets in IFC. Indien geen mapping beschikbaar is, is de regel leeg gelaten		
# Parameters die u niet wilt mappen kunt u uitschakelen door aan het begin van de regel een # te plaatsen		
# PSet <tab> IFC Property <tab> Revit parameter		
# IFC 4		
# NLRS 3.1.1		
# -----------------------------------------------------		
#PropertySet	IFC Property	Revit Parameter
Pset_BuildingCommon	FireProtectionClass	
Pset_SiteCommon	BuildableArea	NLRS_C_eis_oppervlak_bouwbaar
Pset_BuildingCommon	IsLandmarked	
Pset_BuildingCommon	IsPermanentID	
Pset_CoilTypeHydronic	CoilFaceArea	
Pset_BuildingCommon	NumberOfStoreys	
Pset_BuildingCommon	OccupancyType	NLRS_C_type
Pset_BuildingCommon	SprinklerProtection	NLRS_C_sprinkler
Pset_BuildingCommon	SprinklerProtectionAutomatic	NLRS_C_sprinkler_automatisch
Pset_BuildingCommon	YearOfConstruction	
Pset_BuildingCommon	YearOfLastRefurbishment	
Pset_BuildingElementProxyCommon	FireRating	Fire Rating
Pset_BuildingElementProxyCommon	Reference	Description
Pset_BuildingElementProxyCommon	Reference	NLRS_C_description
Pset_BuildingElementProxyCommon	FireRating	NLRS_C_brandwerendheid
Pset_BuildingElementProxyCommon	IsExternal	NLRS_C_buiten
Pset_BuildingElementProxyCommon	LoadBearing	NLRS_C_dragend
Pset_BuildingElementProxyCommon	Status	NLRS_C_status
Pset_BuildingElementProxyCommon	ThermalTransmittance	NLRS_B_Uwaarde
Pset_BuildingElementProxyProvisionForVoid	Diameter	Diameter
Pset_BuildingElementProxyProvisionForVoid	Diameter	Diameter
Pset_BuildingElementProxyProvisionForVoid	Height	Height
Pset_BuildingElementProxyProvisionForVoid	Height	NLRS_C_hoogte
Pset_BuildingElementProxyProvisionForVoid	Shape	NLRS_C_vorm
Pset_BuildingElementProxyProvisionForVoid	System	
Pset_BuildingElementProxyProvisionForVoid	Width	NLRS_C_breedte
Pset_BuildingElementProxyProvisionForVoid	Width	Width
Pset_BuildingElementProxyProvisionForVoid	Depth	NLRS_C_diepte
Pset_BuildingElementProxyProvisionForVoid	Depth	Depth
Pset_BuildingStoreyCommon	Reference	Description
Pset_BuildingStoreyCommon	Reference	NLRS_C_description
Pset_BuildingStoreyCommon	AboveGround	
Pset_BuildingStoreyCommon	EntranceLevel	
Pset_FireSuppressionTerminalTypeSprinkler	CoverageArea	NLRS_C_oppervlakte_01
Pset_BuildingStoreyCommon	LoadBearingCapacity	
Pset_SensorTypeGasSensor	CoverageArea	NLRS_C_oppervlakte_01
Pset_BuildingStoreyCommon	SprinklerProtection	
Pset_BuildingStoreyCommon	SprinklerProtectionAutomatic	NLRS_C_sprinkler_automatisch
Pset_BurnerTypeCommon	Reference	Description
Pset_BurnerTypeCommon	Reference	NLRS_C_description
Pset_BurnerTypeCommon	EnergySource	
Pset_BurnerTypeCommon	Status	NLRS_C_status
Pset_CableCarrierSegmentTypeCableLadderSegment	LadderConfiguration	
Pset_CableCarrierSegmentTypeCableLadderSegment	NominalHeight	NLRS_C_hoogte
Pset_CableCarrierSegmentTypeCableLadderSegment	NominalHeight	Height
Pset_CableCarrierSegmentTypeCableLadderSegment	NominalWidth	NLRS_C_breedte
Pset_CableCarrierSegmentTypeCableLadderSegment	NominalWidth	Width
Pset_CableCarrierSegmentTypeCableTraySegment	HasCover	
Pset_CableCarrierSegmentTypeCableTraySegment	NominalHeight	NLRS_C_hoogte
Pset_CableCarrierSegmentTypeCableTraySegment	NominalHeight	Height
Pset_CableCarrierSegmentTypeCableTraySegment	NominalWidth	NLRS_C_breedte
Pset_CableCarrierSegmentTypeCableTraySegment	NominalWidth	Width
Pset_CableCarrierSegmentTypeCableTrunkingSegment	NominalHeight	NLRS_C_hoogte
Pset_CableCarrierSegmentTypeCableTrunkingSegment	NominalHeight	Height
Pset_CableCarrierSegmentTypeCableTrunkingSegment	NominalWidth	NLRS_C_breedte
Pset_CableCarrierSegmentTypeCableTrunkingSegment	NominalWidth	Width
Pset_CableCarrierSegmentTypeCableTrunkingSegment	NumberOfCompartments	
Pset_CableCarrierSegmentTypeCommon	Reference	Description
Pset_CableCarrierSegmentTypeCommon	Reference	NLRS_C_description
Pset_CableCarrierSegmentTypeCommon	Status	NLRS_C_status
Pset_CableCarrierSegmentTypeConduitSegment	ConduitShapeType	NLRS_C_vorm
Pset_CableCarrierSegmentTypeConduitSegment	IsRigid	
Pset_CableCarrierSegmentTypeConduitSegment	NominalHeight	NLRS_C_hoogte
Pset_CableCarrierSegmentTypeConduitSegment	NominalHeight	Height
Pset_CableCarrierSegmentTypeConduitSegment	NominalWidth	NLRS_C_breedte
Pset_CableCarrierSegmentTypeConduitSegment	NominalWidth	Width
Pset_CableSegmentTypeBusBarSegment	IsHorizontalBusbar	
Pset_CableSegmentTypeCableSegment	FunctionReliable	
Pset_CableSegmentTypeCableSegment	HalogenProof	
Pset_CableSegmentTypeCableSegment	HasProtectiveEarth	
Pset_CableSegmentTypeCableSegment	MaximumOperatingTemperature	
Pset_CableSegmentTypeCableSegment	MaximumShortCircuitTemperature	
Pset_CableSegmentTypeCableSegment	NumberOfCores	
Pset_CableSegmentTypeCableSegment	RatedTemperature	
Pset_CableSegmentTypeCableSegment	RatedVoltage	
Pset_CableSegmentTypeCableSegment	ScreenDiameter	NLRS_C_diameter_01
Pset_CableSegmentTypeCableSegment	SelfExtinguishing60332	
Pset_CableSegmentTypeCableSegment	SelfExtinguishing60332	
Pset_CableSegmentTypeCableSegment	SpecialConstruction	
Pset_CableSegmentTypeCableSegment	Standard	
Pset_CableSegmentTypeCableSegment	Weight	NLRS_C_gewicht
Pset_CableSegmentTypeCableSegment	OverallDiameter	Diameter
Pset_CableSegmentTypeCableSegment	OverallDiameter	NLRS_C_diameter
Pset_CableSegmentTypeConductorSegment	Construction	
Pset_SensorTypeHeatSensor	CoverageArea	NLRS_C_oppervlakte_01
Pset_CableSegmentTypeConductorSegment	Function	
Pset_CableSegmentTypeConductorSegment	Material	NLRS_C_materiaal
Pset_CableSegmentTypeConductorSegment	Shape	NLRS_C_vorm
Pset_CableSegmentTypeCoreSegment	CoreIdentifier	
Pset_CableSegmentTypeCoreSegment	FunctionReliable	
Pset_CableSegmentTypeCoreSegment	HalogenProof	
Pset_CableSegmentTypeCoreSegment	RatedTemperature	
Pset_CableSegmentTypeCoreSegment	RatedVoltage	
Pset_CableSegmentTypeCoreSegment	ScreenDiameter	NLRS_C_diameter_01
Pset_CableSegmentTypeCoreSegment	SelfExtinguishing60332	
Pset_CableSegmentTypeCoreSegment	SelfExtinguishing60332	
Pset_CableSegmentTypeCoreSegment	SheathColors	NLRS_C_materiaal_01
Pset_CableSegmentTypeCoreSegment	Standard	
Pset_CableSegmentTypeCoreSegment	Weight	NLRS_C_gewicht
Pset_CableSegmentTypeCoreSegment	OverallDiameter	Diameter
Pset_CableSegmentTypeCoreSegment	OverallDiameter	NLRS_C_diameter
Pset_ChillerTypeCommon	Reference	Description
Pset_ChillerTypeCommon	Reference	NLRS_C_description
Pset_ChillerTypeCommon	CapacityCurve	
Pset_ChillerTypeCommon	CoefficientOfPerformanceCurve	
Pset_ChillerTypeCommon	FullLoadRatioCurve	
Pset_ChillerTypeCommon	NominalCapacity	
Pset_ChillerTypeCommon	NominalCondensingTemperature	
Pset_ChillerTypeCommon	NominalEfficiency	
Pset_ChillerTypeCommon	NominalEvaporatingTemperature	
Pset_ChillerTypeCommon	NominalHeatRejectionRate	
Pset_ChillerTypeCommon	NominalPowerConsumption	
Pset_ChillerTypeCommon	Status	NLRS_C_status
Pset_ChimneyCommon	FireRating	Fire Rating
Pset_ChimneyCommon	Reference	Description
Pset_ChimneyCommon	Reference	NLRS_C_description
Pset_ChimneyCommon	FireRating	NLRS_C_brandwerendheid
Pset_ChimneyCommon	IsExternal	NLRS_C_buiten
Pset_ChimneyCommon	LoadBearing	NLRS_C_dragend
Pset_ChimneyCommon	NumberOfDrafts	
Pset_ChimneyCommon	Status	NLRS_C_status
Pset_ChimneyCommon	ThermalTransmittance	NLRS_B_Uwaarde
Pset_CoilOccurrence	HasSoundAttenuation	
Pset_CoilTypeCommon	Reference	Description
Pset_CoilTypeCommon	Reference	NLRS_C_description
Pset_CoilTypeCommon	AirflowRateRange	
Pset_CoilTypeCommon	NominalLatentCapacity	
Pset_CoilTypeCommon	NominalSensibleCapacity	
Pset_CoilTypeCommon	NominalUA	
Pset_CoilTypeCommon	OperationalTemperatureRange	
Pset_CoilTypeCommon	PlacementType	NLRS_C_type
Pset_CoilTypeCommon	Status	NLRS_C_status
Pset_CoilTypeHydronic	BypassFactor	
Pset_CoilTypeHydronic	CoilConnectionDirection	
Pset_CoilTypeHydronic	CoilCoolant	
Pset_SensorTypeSmokeSensor	CoverageArea	NLRS_C_oppervlakte_01
Pset_CoilTypeHydronic	CoilFluidArrangement	
Pset_CoilTypeHydronic	FluidPressureRange	
Pset_CableSegmentTypeConductorSegment	CrossSectionalArea	
Pset_AirTerminalTypeCommon	EffectiveArea	
Pset_CondenserTypeCommon	ExternalSurfaceArea	NLRS_C_schiloppervlak
Pset_CoilTypeHydronic	SensibleHeatRatio	
Pset_CoilTypeHydronic	TotalUACurves	
Pset_CoilTypeHydronic	WaterPressureDropCurve	
Pset_CoilTypeHydronic	WetCoilFraction	
Pset_ColumnCommon	FireRating	Fire Rating
Pset_ColumnCommon	Reference	Description
Pset_ColumnCommon	Reference	NLRS_C_description
Pset_ColumnCommon	FireRating	NLRS_C_brandwerendheid
Pset_ColumnCommon	IsExternal	NLRS_C_buiten
Pset_ColumnCommon	LoadBearing	NLRS_C_dragend
Pset_ColumnCommon	Roll	
Pset_ColumnCommon	Slope	NLRS_C_helling
Pset_ColumnCommon	Status	NLRS_C_status
Pset_ColumnCommon	ThermalTransmittance	NLRS_B_Uwaarde
Pset_CommunicationsApplianceTypeCommon	Reference	Description
Pset_CommunicationsApplianceTypeCommon	Reference	NLRS_C_description
Pset_CommunicationsApplianceTypeCommon	Status	NLRS_C_status
Pset_CompressorTypeCommon	Reference	Description
Pset_CompressorTypeCommon	Reference	NLRS_C_description
Pset_CompressorTypeCommon	CompressorSpeed	
Pset_CompressorTypeCommon	HasHotGasBypass	
Pset_CompressorTypeCommon	IdealCapacity	
Pset_CompressorTypeCommon	IdealShaftPower	
Pset_CompressorTypeCommon	ImpellerDiameter	NLRS_C_diameter_01
Pset_CompressorTypeCommon	MaximumPartLoadRatio	
Pset_CompressorTypeCommon	MinimumPartLoadRatio	
Pset_CompressorTypeCommon	NominalCapacity	
Pset_CompressorTypeCommon	PowerSource	
Pset_CompressorTypeCommon	RefrigerantClass	
Pset_CompressorTypeCommon	Status	NLRS_C_status
Pset_CondenserTypeCommon	Reference	Description
Pset_CondenserTypeCommon	Reference	NLRS_C_description
Pset_EvaporatorTypeCommon	ExternalSurfaceArea	NLRS_C_schiloppervlak
Pset_CondenserTypeCommon	InternalRefrigerantVolume	NLRS_C_volume_02
Pset_DamperTypeCommon	FaceArea	NLRS_C_schiloppervlak
Pset_CondenserTypeCommon	InternalWaterVolume	NLRS_C_volume_01
Pset_FilterTypeAirParticleFilter	FaceSurfaceArea	
Pset_CondenserTypeCommon	NominalHeatTransferCoefficient	
Pset_CondenserTypeCommon	RefrigerantClass	
Pset_CondenserTypeCommon	Status	NLRS_C_status
Pset_ControllerTypeCommon	Reference	Description
Pset_ControllerTypeCommon	Reference	NLRS_C_description
Pset_ControllerTypeCommon	Status	NLRS_C_status
Pset_ControllerTypeFloating	ControlType	NLRS_C_type
Pset_ControllerTypeFloating	Labels	
Pset_ControllerTypeFloating	Range	
Pset_ControllerTypeFloating	SignalFactor	
Pset_ControllerTypeFloating	SignalOffset	
Pset_ControllerTypeFloating	SignalTime	
Pset_ControllerTypeFloating	Value	
Pset_ControllerTypeMultiPosition	ControlType	NLRS_C_type
Pset_ControllerTypeMultiPosition	Labels	
Pset_ControllerTypeMultiPosition	Range	
Pset_ControllerTypeMultiPosition	Value	
Pset_ControllerTypeProgrammable	Application	
Pset_ControllerTypeProgrammable	ControlType	NLRS_C_type
Pset_ControllerTypeProgrammable	FirmwareVersion	
Pset_ControllerTypeProgrammable	SoftwareVersion	
Pset_ControllerTypeTwoPosition	ControlType	NLRS_C_type
Pset_ControllerTypeTwoPosition	Labels	
Pset_ControllerTypeTwoPosition	Polarity	
Pset_ControllerTypeTwoPosition	Value	
Pset_CooledBeamTypeCommon	Reference	Description
Pset_CooledBeamTypeCommon	Reference	NLRS_C_description
Pset_CooledBeamTypeCommon	CoilLength	NLRS_C_lengte_01
Pset_CooledBeamTypeCommon	CoilWidth	NLRS_C_breedte_01
Pset_CooledBeamTypeCommon	FinishColor	NLRS_C_materiaal_kleur
Pset_CooledBeamTypeCommon	IntegratedLightingType	NLRS_C_type
Pset_CooledBeamTypeCommon	IsFreeHanging	
Pset_CooledBeamTypeCommon	NominalCoolingCapacity	NLRS_M_afgifte_koeling
Pset_CooledBeamTypeCommon	NominalHeatingCapacity	NLRS_M_afgifte_verwarming
Pset_CooledBeamTypeCommon	NominalReturnWaterTemperatureCooling	
Pset_CooledBeamTypeCommon	NominalReturnWaterTemperatureHeating	
Pset_CooledBeamTypeCommon	NominalSupplyWaterTemperatureCooling	
Pset_CooledBeamTypeCommon	NominalSupplyWaterTemperatureHeating	
Pset_CooledBeamTypeCommon	NominalSurroundingHumidityCooling	
Pset_CooledBeamTypeCommon	NominalSurroundingTemperatureCooling	
Pset_CooledBeamTypeCommon	NominalSurroundingTemperatureHeating	
Pset_CooledBeamTypeCommon	NominalWaterFlowCooling	
Pset_CooledBeamTypeCommon	NominalWaterFlowHeating	
Pset_CooledBeamTypeCommon	PipeConnection	
Pset_CooledBeamTypeCommon	Status	NLRS_C_status
Pset_CooledBeamTypeCommon	WaterFlowControlSystemType	NLRS_C_type
Pset_CooledBeamTypeCommon	WaterPressureRange	
Pset_CoolingTowerTypeCommon	Reference	Description
Pset_CoolingTowerTypeCommon	Reference	NLRS_C_description
Pset_CoolingTowerTypeCommon	AmbientDesignDryBulbTemperature	
Pset_CoolingTowerTypeCommon	AmbientDesignWetBulbTemperature	
Pset_CoolingTowerTypeCommon	BasinReserveVolume	NLRS_C_volume
Pset_CoolingTowerTypeCommon	CapacityControl	
Pset_CoolingTowerTypeCommon	CircuitType	NLRS_C_type
Pset_CoolingTowerTypeCommon	ControlStrategy	
Pset_CoolingTowerTypeCommon	FlowArrangement	
Pset_CoolingTowerTypeCommon	LiftElevationDifference	
Pset_CoolingTowerTypeCommon	NominalCapacity	
Pset_CoolingTowerTypeCommon	NumberOfCells	
Pset_CoolingTowerTypeCommon	OperationTemperatureRange	
Pset_CoolingTowerTypeCommon	SprayType	NLRS_C_type
Pset_CoolingTowerTypeCommon	Status	NLRS_C_status
Pset_CoolingTowerTypeCommon	WaterRequirement	
Pset_CoveringCeiling	Permeability	
Pset_CoveringCeiling	TileLength	NLRS_C_lengte_01
